,,,,,,,,,Date Range,3/30-4/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Total,$0.00,,Total,$0.00,,Total,$0.00,,Total,$0.00,,Total,$0.00,,Total,$0.00,,Total,$0.00,,Total,$0.00,,Total,$0.00,,Total,$0.00,,Total,$0.00
,,Variable Expense,,,,,Grocery,,,Outside Food,,,Home Expense,,,Transport (Uber),,,Transport (Bus),,,Utilities,,,Hair Care,,,Skin Care,,,Misc,,,Business Expense,,,Books,
,,,Budgeted,Actual,,,Oil,,,UberEats,,,Basement shelf,,,Movati,,,,,,,,,Shampoo,,,Oceania,,,,,,Vapi,,,Bhagavad Gita,
,,Grocery,$240.00,$0.00,,,Walmart,,,Madras,,,Bug Clean,,,Movati,,,,,,,,,Hair cut,,,Niacinamide,,,Tax File,,,Vapi,,,Mahabarat,
,,Outside Food,$220.00,$0.00,,,Walmart,,,Bar burrito,,,,,,Movati,,,,,,,,,,,,oceania,,,,,,Twilio,,,,
,,Skin care,$80.00,$0.00,,,Walmart,,,Uber Eats,,,,,,Movati,,,,,,,,,,,,Moistuizer,,,Amazon,,,Kling,,,,
,,Hair care,$20.00,,,,Walmart,,,Simply South,,,,,,Movati,,,,,,,,,,,,,,,Bowling,,,Anthropic,,,,
,,Home Expense,$200.00,$0.00,,,Walmart,,,DQ,,,,,,Movati,,,,,,,,,,,,,,,Anita skin care,,,,,,,
,,Misc,$200.00,$0.00,,,Onkar,,,Malabar,,,,,,Movati,,,,,,,,,,,,,,,Keyboard,,,,,,,
,,Business Expense,$100.00,$0.00,,,Walmart,,,Raja Biriyani,,,,,,Oceania,,,,,,,,,,,,,,,Yoga mat,,,,,,,
,,Uber,$400.00,$0.00,,,,,,DQ,,,,,,Oceania,,,,,,,,,,,,,,,Shein,,,,,,,
,,Books,$40.00,,,,Walmart,,,Simply South,,,,,,GRT Card,,,,,,,,,,,,,,,Wardrobe,,,,,,,
,,Total Expense,"$1,500.00",$0.00,,,,,,D Spot,,,,,,Movati,,,,,,,,,,,,,,,TEmu,,,,,,,
,,,,,,,,,,,,,,,,Movati,,,,,,,,,,,,,,,Bowling,,,,,,,
,,,,,,,,,,,,,,,,Movati,,,,,,,,,,,,,,,Eye bros,,,,,,,
,,,,,,,,,,,,,,,,Movati,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Movati,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Movati,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Movati,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Movati,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Movati,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,From Thiyag,$0.00,,To Thiyag,$0.00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,UberEats,,,Salad & Chips,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Chicipe,,,Wednesday Dinner,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Bowling,,,Milk,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Swaggat,,,Grand Meh,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Simply South,,,Chicken,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Hyderabad,,,Oil,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Demetres,,,Hammer,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Simply South,,,Lotion,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Starbucks,,,Chicken,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Paddle,,,Salad,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Shoppers,,,Bikaji,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Dairy Queen,,,Coke,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Swaggat,,,Dates,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Buffet,,,Banana,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Bland AI,,,Tax,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Boston,,,Gas,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Bowling,,,Juice,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Hyderabd House,,,Buffet,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Coke,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Dominoes,,,,,,,,,,,,,,,,,,,,,,,,