,,,,,Expense as of today,$0.00,,,,,,,,,,,,,
,,,,,Remaining Salary for the month,"$10,375.66",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"At the end of March, see how much remains ",w/Pay,w/o Pay,,,,,,,,,,,,,,,,,
 ,March 29,,Difference,,,,,,,,,,,,,,,,
Total Worth end of January,"$145,254.95",,"-$145,254.95",,,,,,,,,,,,,,,,
Scotia Balance,"$48,992.62",,"-$48,992.62",,,,,,,,,,,,,,,,
Liquid,"$44,992.62",,"-$44,992.62",,,,,,,Percent of Income,56.02%,,,Percent of Income,43.61%,,,Percent of Income,99.64%
Chequing Balance,"$15,948.84",,"-$15,948.84",,Income,,,,,Fundamentals,,,,Investments & Savings,,,,Fundamentals + Investment + Savings,
Momentum Savings,"$5,070.78",,"-$5,070.78",,Salary,"$9,445.66",,,,Budgeted Expense,"$5,812.79",,,Total Budgeted,"$4,525.00",,,Total Budgeted,"$10,337.79"
Emergency Savings,"$26,148.34",,"-$26,148.34",,Rent,$930.00,,,,Actual Expense,$0.00,,,Total Spent,$0.00,,,Total Expenses,$0.00
Scotia Mutual Fund,"$1,824.66",,"-$1,824.66",,Amazon Book Sale,,,,,Balance after Expense,"$5,812.79",,,Total Remaining,"$4,525.00",,,Remaining Income for the month (at this point),"$10,375.66"
TD Savings,"$1,061.52",,"-$1,061.52",,Total Income,"$10,375.66",,,,,,,,,,,,,
WealthSimple,"$17,407.83",,"-$17,407.83",,,,,,,,,,,,,,,,
Questrade,"$43,038.74",,"-$43,038.74",,,,,,,,,,,,,,,,
Canada Life RRSP,"$34,754.24",,"-$34,754.24",,,,,,,,,,,,,,,,
Change (Increase/Decrease),"-$145,254.95",,,,Non negotiable expense/Month,"$5,812.79",,,,,,,,,,,,,
Reason,,,,,Fixed Expense ,"$3,552.79",,,,,,,,,,,,,
,,,,,Variable Expense ,"$2,260.00",,,,,,,,,,,,,
Current Balance in Chequing,"$15,948.84",,,,Excess without rental ,"$3,632.87",,,,,,,,,,,,,
Credit Card Payment,,,,,Excess with rent,"$4,562.87",,,,,,,,,,,,,
Extra towards investment on EOM,,,,,,,,,,,,,,,,,,,
Budgeted,,,,,,,,,,,,,,,,,,,
Balance after budgeted expense,"$4,562.87",,,,,,,,,,,,,,,,,,
Balace after alll expense,$37.87,,,,,,,,,,,,,,,,,,
Actuals,,,,,,,,,,,,,,,,,,,
Balance After Actual Expense (as of today),"$10,375.66",,,,,,,,,,,,,,,,,,
Balance Ater Alll Expense (as of today),"$10,375.66",,,,Variable Expense,,,,,Investments,,,,,,,,,
,,,,,,Budgeted,Actual,Remaining,,,Budgeted,Actual,,,,,,,
Fixed Expense,,,,,Grocery,$350.00,$0.00,$350.00,,Mortage Accelerated,$500.00,,,,,,,,
,Budgeted,Actual,,,Outside Food,$300.00,$0.00,$300.00,,Investment - WealthSimple,$500.00,,,,,,,,
Mortgage,"$2,675.47",,,,Skin care,$250.00,$0.00,$250.00,,Investment - Questrade (TFSA),"$2,800.00",,,,,,,,
Utilities,$300.00,,,,Hair care,$20.00,,$20.00,,Investment - Questrade (RRSP),$700.00,,,,,,,,
Phone,$36.16,,,,Home Expense,$300.00,$0.00,$300.00,,Investment - Scotia,$25.00,,,,,,,,
Internet,$62.14,,,,Misc,$400.00,$0.00,$400.00,,Total Investments,"$4,525.00",$0.00,,,,,,,
Youtube Premium,$1.00,,,,Business Expense,$100.00,$0.00,$100.00,,% of Total Income,43.61%,0.00%,,,,,,,
IPTV,$8.33,,,,Uber,$500.00,$0.00,$500.00,,Remaining after all expense,,"$4,525.00",,,,,,,
Property Tax,$272.46,,,,Books,$40.00,,$40.00,,,,,,,,,,,
Home Insurance,$86.23,,,,Total Variable Expense,"$2,260.00",$0.00,,,,,,,,,,,,
Movati,$111.00,,,,% of Total Income,21.78%,0.00%,,,,,,,,,,,,
Total Fixed Expense,"$3,552.79",$0.00,,,Remaining after all expense,,,"$2,260.00",,,,,,,,,,,
% of Total Income,34.24%,0.00%,,,,,,,,,,,,,,,,,
Remaining after all expense,,"$3,552.79",,,,,,,,,,,,,,,,,